id,open_date,type,P1,P2,P3,P4,P5,P6,P7,P8,revenue
87895,12/12/2011,IL,5,3,2,3,5,4,2,5,12868628
42772,12/17/2006,IL,5,3,1,1,5,4,7.5,3,18386594
75893,10/04/2012,IL,5,2,3,2,5,1,3,5,20653754
19120,04/12/2013,IL,10,6,2,2,8,2,7.5,4,13583490
15290,01/17/2012,IL,10,2,1,2,5,2,5,4,16700517
35737,12/28/2010,IL,4,1,5,5,5,2,3,4,13851783
43194,09/13/1999,IL,5,2,1,1,8,5,3,4,14499118
78358,06/16/2012,FC,5,3,1,4,8,2,7.5,5,12856948
73962,12/07/2008,IL,5,5,1,1,10,4,3,8,13972752
54131,07/14/2000,FC,5,4,1,3,10,4,3,5,14001425
42342,11/25/2009,FC,10,5,1,1,5,5,3,8,13196938
9752,02/06/2007,FC,5,3,2,3,5,5,1,5,13912322
88091,05/29/2013,FC,5,3,1,2,5,4,2,5,13041980
88422,12/03/2012,FC,10,2,2,4,4,3,3,4,14217991
85850,05/01/2013,FC,5,2,25,2,4,2,3,2,7168114
45836,08/23/2013,FC,5,2,10,2,4,3,3,4,12294801
43357,09/14/2009,IL,5,4,15,2,4,2,3,5,10223396
88559,09/13/2006,IL,4,3,5,1,10,2,2,8,12167127
58313,12/17/2013,IL,5,5,1,2,10,2,2,4,14584676
21703,12/17/2013,IL,5,5,1,1,5,8,1,3,13030828
87977,04/04/2008,IL,5,3,3,1,4,1,3,5,12187488
61332,07/17/2009,FC,5,4,20,2,5,2,7.5,4,9188470
63332,10/04/2013,IL,5,1,4,2,5,10,5,4,13417918
26975,04/09/2000,IL,5,2,3,4,5,1,3,5,12976170
42068,11/19/2009,IL,5,2,1,5,4,2,3,4,20377986
19938,01/04/2014,IL,5,4,2,1,5,3,3,4,18925528
57450,03/19/2012,FC,10,4,2,1,4,3,1,4,12281608
52581,04/08/2010,FC,5,5,1,1,3,1,1,5,14974569
85516,07/15/2013,FC,5,2,5,2,5,1,2,5,11728663
14226,06/28/2012,IL,10,5,1,1,5,3,3,4,14530738
47743,05/03/2009,FC,4,5,3,1,8,2,3,4,12288327
93045,09/07/2010,FC,5,3,1,2,4,2,3,4,13011013
90177,12/21/2012,FC,5,4,1,1,5,2,3,10,20364051
83492,06/01/2012,MB,5,2,2,1,5,3,3,5,13621200
25887,07/07/2010,FC,5,3,4,2,4,2,3,10,13395264
65478,05/05/2007,FC,5,4,1,1,5,2,7.5,4,14107308
48167,09/09/2013,IL,5,2,2,3,3,3,3,5,12689554
74923,09/26/2003,FC,5,1,1,4,10,2,2,5,20100762
535,04/22/2008,FC,5,4,1,2,3,2,7.5,4,10374076
14171,12/28/2011,FC,5,1,15,4,4,2,3,3,9814281
72628,03/05/2012,FC,4,2,2,1,5,1,3,5,14161827
14639,03/06/2013,IL,5,4,1,3,8,1,3,4,14521888
20881,08/25/2006,FC,5,5,3,1,6,3,3,4,9841047
27743,05/03/2009,FC,5,1,1,5,4,3,3,5,14338551
6913,11/22/2012,DT,4,2,10,3,5,2,3,4,10939636
2631,01/31/2012,FC,4,4,1,2,5,2,2,6,12781026
96849,05/16/2008,FC,5,2,5,5,5,2,3,5,11832259
606,02/21/2013,IL,10,4,3,2,5,2,2,8,13157765
47421,10/04/2000,FC,4,1,1,3,5,4,1,6,14685656
25994,09/09/2013,FC,5,5,1,1,4,2,2,8,9503384
45852,11/05/2009,IL,10,2,5,3,3,4,7.5,8,12527362
69612,09/26/2003,FC,5,1,5,3,3,5,3,5,11649816
23989,02/19/2010,FC,5,3,5,1,5,4,3,4,20532882
21814,01/05/2000,IL,5,2,2,1,5,3,3,5,13969311
39463,05/06/2013,FC,5,10,1,2,5,2,7.5,5,13695722
14411,11/13/2013,FC,10,2,5,1,5,4,3,10,11096119
53093,07/14/2000,IL,5,3,5,2,10,1,2,5,12161283
47042,06/01/2012,IL,10,3,15,2,4,2,2,5,10894187
14763,07/22/2010,FC,5,5,4,1,5,3,3,10,12497074
46570,11/22/2012,IL,5,4,1,1,5,4,7.5,4,12149035
3530,03/06/2013,FC,5,2,5,1,5,1,1,4,17810894
2626,09/04/2009,IL,5,1,1,3,4,2,1,5,14772063
83390,02/09/2010,IL,5,4,5,3,8,4,1,5,13063811
77886,04/04/2008,IL,5,2,1,1,5,2,0,4,13361623
92898,12/02/2007,FC,10,4,1,5,5,2,3,3,13046998
45473,02/06/2007,IL,5,2,1,2,5,3,3,5,14969021
60699,04/13/2007,IL,4,3,5,2,6,2,7.5,5,15371671
85001,11/27/2011,IL,4,1,2,5,5,3,3,4,13623214
75938,12/18/1998,IL,10,2,5,1,5,2,7.5,3,11546723
50956,12/20/1997,FC,4,4,4,3,4,5,2,4,12648209
40122,06/17/2010,FC,5,1,1,4,4,4,3,4,14243524
95000,12/31/1997,IL,5,1,2,2,4,2,3,4,13933093
80710,03/05/1996,FC,5,4,2,1,5,6,3,4,12699041
36032,11/19/2009,IL,10,3,3,2,3,4,7.5,5,13984563
14308,09/13/1999,DT,5,5,3,3,5,4,7.5,5,12974633
18864,07/04/2011,IL,4,2,5,3,5,4,1,4,13525143
63707,12/23/2005,FC,10,5,1,5,10,1,3,5,12929366
87765,11/03/2012,IL,5,2,3,1,2,2,3,4,15866406
24774,03/19/2009,FC,5,2,1,4,5,2,0,4,11099827
744,06/29/1997,IL,5,2,1,2,10,6,3,4,14539760
39517,06/23/2009,IL,10,10,1,2,4,2,3,5,14883225
95204,05/03/2013,FC,4,3,4,2,5,3,3,4,12039168
43735,05/04/2012,IL,10,3,1,4,5,2,3,6,19608138
27668,01/23/2009,FC,4,4,2,4,4,2,2,5,12319071
94219,12/07/2004,FC,4,2,3,1,3,2,2,1,11897219
92987,11/01/2007,FC,5,5,1,3,5,2,3,4,14901188
4470,11/12/2010,IL,4,1,3,2,4,6,1,10,12686760
50424,10/05/2010,FC,5,5,2,2,4,1,2,5,15207964
8805,03/09/1998,IL,5,2,1,4,3,4,2,5,12406184
55508,07/23/2011,FC,5,10,2,3,4,2,3,6,14093410
27368,05/30/2006,FC,4,3,1,1,5,2,2,5,10911799
85827,06/26/2010,FC,5,5,5,2,4,2,2,4,13272090
20589,10/11/2010,FC,5,4,1,1,4,2,3,5,13739626
34501,08/24/1996,IL,5,1,10,5,6,3,3,4,10068421
62612,11/03/2012,IL,4,1,1,1,5,2,2,4,12566833
47872,06/06/2013,FC,5,4,2,4,5,2,2,3,13370380
46588,07/10/2013,IL,5,4,25,5,5,4,3,5,8562301
83761,09/06/1997,IL,4,6,3,1,4,2,3,4,14651981
99961,12/31/1997,IL,5,4,5,1,5,2,7.5,5,13612106
33266,11/22/2009,IL,4,6,1,2,3,3,3,5,20802061
67072,12/20/1997,FC,4,2,2,2,5,2,2,4,13214020
24159,08/05/2011,FC,5,3,1,1,4,4,3,5,13604785
68864,10/05/2010,IL,5,3,1,2,5,6,2,5,14770824
39795,11/05/2008,FC,10,5,3,1,5,4,2,6,13094596
41891,04/12/2012,FC,8,1,20,5,5,4,3,4,11589857
16307,11/01/2006,FC,5,3,15,1,4,5,3,3,11498117
94731,04/12/1997,IL,5,1,4,1,5,5,3,4,10301388
86192,11/21/2009,FC,5,3,4,1,10,5,2,4,11801680
72354,10/10/2013,FC,5,10,2,2,8,4,1,5,13088903
76640,02/26/2011,IL,4,1,3,1,8,5,3,10,11726167
2912,06/29/1997,IL,4,1,5,2,4,5,10,5,12965676
33113,04/22/2010,IL,5,1,3,1,5,2,3,4,13791750
89188,03/02/1998,FC,5,2,10,1,4,2,2,8,12924114
84466,01/05/2000,IL,10,5,1,5,4,3,3,8,13121705
2342,11/22/2009,FC,5,3,1,2,5,2,3,4,8771446
86937,04/01/2000,FC,5,2,1,2,5,2,7.5,4,12748658
64230,02/11/1998,IL,8,8,4,3,5,4,3,5,12353285
19824,05/12/2013,FC,5,2,2,3,3,2,3,2,13390083
23589,09/13/1999,FC,5,4,1,5,10,1,3,4,12972449
44102,05/08/1995,FC,10,5,4,1,5,3,3,4,16679084
96587,04/19/2013,FC,10,3,3,1,5,4,3,4,14314779
70111,12/20/1997,FC,5,5,15,5,5,4,3,3,10163135
44155,09/01/2001,FC,5,2,5,4,4,1,3,5,12761410
7528,11/05/2008,IL,5,10,10,5,5,3,7.5,5,13223643
98988,09/23/2008,FC,8,3,3,1,10,2,2,6,12855233
29036,08/03/2012,FC,5,4,3,1,4,2,1,4,12651785
98119,02/26/2011,IL,4,1,1,2,5,6,1,4,21635762
91908,11/01/2006,FC,5,3,1,4,5,5,1,4,13661423
96809,09/20/2013,FC,8,4,2,3,5,3,2,5,13862998
2965,05/01/1998,FC,4,3,4,1,5,2,7.5,5,13065469
68010,10/18/2012,FC,5,1,2,3,10,2,3,4,14080046
35181,12/04/1999,FC,5,1,20,1,4,4,2.5,5,8983718
56456,08/03/2012,IL,5,3,1,2,4,5,3,4,14746515
55834,07/12/2012,FC,4,3,5,2,5,2,2,5,13124875
37879,03/30/2002,FC,4,4,3,1,4,2,1,5,14961409
69248,11/03/2012,IL,4,4,3,3,4,3,3,5,12377818
2428,08/26/2000,DT,5,5,2,2,5,4,1,3,13649443
53253,07/04/2011,FC,5,2,5,1,5,4,3,5,12791032
76533,02/16/2010,FC,5,3,3,1,5,4,3,5,13201756
72535,09/15/2011,IL,5,4,2,5,5,1,3,5,14039375
78812,08/13/2009,FC,8,5,4,2,3,4,1,4,14615533
23210,03/29/2013,FC,5,1,4,2,5,2,3,5,12560226
75456,02/26/2010,FC,5,5,1,3,5,2,3,5,17939180
21591,07/10/2013,FC,4,2,3,2,5,1,3,2,11973630
24427,09/20/2013,FC,5,1,1,5,6,2,1,5,12793628
60119,04/03/2010,FC,5,2,1,2,5,2,2,4,13406291
22775,06/20/2011,FC,5,2,10,3,5,2,1,8,12307195
91298,11/19/2009,IL,5,4,3,2,5,5,0,5,12933071
3526,03/17/2007,IL,5,5,25,2,5,4,2,5,6645669
24558,10/10/2011,DT,10,1,1,1,3,3,3,5,13859281
7603,11/13/2013,FC,5,3,1,1,5,2,2,4,12752588
79796,08/02/2011,FC,4,1,1,2,4,4,7.5,4,13215708
28754,01/14/2011,IL,4,3,1,2,5,2,3,4,13656406
92812,04/04/2012,FC,10,2,4,1,5,4,2,5,12365034
18371,11/22/2009,FC,5,1,2,2,5,2,2.5,4,12565286
58794,03/09/1998,IL,8,4,1,1,8,2,3,4,11764524
51236,08/20/2011,IL,4,3,1,1,4,2,3,4,11896163
98457,10/28/2008,FC,4,4,1,5,5,2,3,5,13491962
33419,05/18/2011,FC,5,3,2,1,4,2,3,5,20743028
18218,02/27/2013,FC,5,10,2,1,4,4,1,4,13915251
27098,01/20/2012,IL,5,2,1,2,5,5,3,4,13876096
40940,11/21/1999,FC,5,4,2,3,4,2,2,3,13326489
28608,08/15/2005,FC,5,3,1,1,10,2,2,4,15788097
43557,03/14/2012,IL,5,1,2,3,5,1,1,5,8959477
86081,08/23/2013,IL,5,5,5,2,5,5,3,3,14190359
80894,02/26/2010,FC,5,1,25,2,5,2,3,4,10783555
92380,08/19/2006,FC,5,4,1,3,3,2,3,5,13607357
92397,09/26/2006,IL,10,3,2,3,3,4,2.5,4,14303703
59853,06/08/2000,FC,5,2,25,5,5,2,3,5,7576949
86711,04/22/2010,FC,5,4,5,4,5,4,3,10,13026575
11179,09/09/2010,FC,5,2,1,5,3,2,2,4,14641585
93272,11/05/2008,IL,5,4,1,3,4,1,3,8,14253682
10720,11/25/2008,FC,5,3,1,1,6,2,2,4,12819821
84140,03/15/2011,IL,5,2,4,3,4,2,2,5,13521218
59887,11/05/2009,IL,5,3,25,1,6,3,3,3,8353896
88034,02/26/2010,FC,5,6,1,1,4,4,3,10,12855431
88025,03/06/2013,FC,5,3,4,2,8,5,5,3,13332534
66464,03/28/2009,IL,5,5,1,1,4,3,3,4,11513987
8632,08/02/1995,IL,4,3,1,3,5,2,3,4,13943841
88634,12/17/2013,IL,4,2,3,5,8,4,3,3,14094542
47047,03/07/2010,IL,5,3,1,3,5,4,2,8,14514134
53040,10/24/2006,FC,5,2,1,5,4,3,7.5,4,19385930
49689,02/16/2007,FC,5,2,2,3,5,6,7.5,4,13057185
94476,10/17/2008,FC,5,1,20,5,3,2,3,4,8650692
63399,01/23/2009,FC,5,8,1,4,4,2,2,5,22468077
13478,11/21/2009,FC,5,5,1,5,5,2,7.5,4,14164959
2021,10/14/2013,FC,5,2,2,1,5,6,3,4,12578265
86847,09/19/2009,IL,5,2,4,4,5,2,3,4,12706675
18735,05/04/2012,IL,5,4,3,1,3,2,5,4,13589024
48100,03/14/2012,FC,5,4,1,3,5,2,2,5,14472147
32991,06/01/2012,FC,5,4,25,3,3,5,3,4,7223097
68616,12/18/1998,FC,5,2,5,2,5,5,3,5,13075537
66335,12/29/2012,IL,5,2,1,4,4,3,3,4,15383976
88870,11/26/2010,FC,10,5,1,4,5,3,7.5,4,14225825
42739,11/27/2011,IL,4,5,2,2,4,2,2,4,13130677
89022,11/29/2008,FC,10,3,15,3,5,2,2,4,9457214
33805,01/05/2000,FC,10,3,10,1,5,2,3,4,12563944
87479,07/18/2011,FC,5,3,1,3,5,2,3,4,14412599
67764,10/04/2013,FC,8,2,1,4,5,2,3,4,13846857
13496,12/30/2011,FC,5,5,1,5,4,2,1,10,12247176
23000,05/06/2013,IL,5,4,1,5,5,5,3,4,14753158
58446,06/01/2012,MB,8,1,1,3,6,1,3,8,13223989
96279,06/13/2009,IL,10,6,1,3,5,2,3,5,13265027
65481,05/30/2006,IL,5,3,1,5,8,3,7.5,6,13742826
91385,06/13/2006,FC,10,1,2,4,4,5,3,5,14959784
66340,03/05/1996,IL,4,3,1,3,3,2,3,4,14117176
8674,08/20/2004,FC,5,10,5,1,6,2,3,5,13365110
67090,09/01/2001,FC,5,3,3,1,5,1,3,4,12492162
15831,12/28/2010,IL,4,5,4,2,5,3,3,4,19285093
29051,03/30/2002,FC,5,3,1,1,5,1,1,4,12860450
57790,11/29/2007,IL,5,2,1,4,5,2,3,4,13550513
18175,10/29/2007,FC,5,2,3,3,4,2,1,5,14419701
15156,12/24/2010,IL,4,4,1,3,4,3,1,4,14123098
17,08/07/2013,IL,5,2,25,3,5,2,3,5,6605258
41900,11/17/2009,FC,5,3,4,1,5,2,3,5,12750844
90818,08/02/2011,FC,5,10,5,2,5,5,1,4,19877997
76548,12/04/1999,FC,4,5,5,2,10,3,3,5,14545196
27645,04/12/2013,IL,5,1,3,2,4,3,2,10,13390295
91937,10/06/2006,FC,5,5,4,5,5,2,2,3,13977853
74941,10/06/2006,FC,5,2,1,1,4,4,3,4,11667709
28467,12/07/2004,DT,8,1,1,1,5,2,3,5,13077114
26445,08/02/2010,IL,5,6,5,1,5,3,3,4,16469039
56996,11/19/2009,IL,5,5,2,3,5,2,3,5,11993348
44051,01/03/2013,FC,5,6,5,3,3,3,3,4,12662763
91712,08/02/2010,IL,4,3,2,3,3,2,3,5,12633752
61483,04/14/2009,IL,5,4,2,5,4,2,0,4,13606194
82653,10/06/2006,FC,4,3,5,5,5,3,3,8,12476067
8579,12/23/2011,IL,5,5,3,2,8,2,3,8,12197941
41056,07/04/2008,FC,5,3,1,4,10,5,3,5,14435533
56346,08/02/1995,IL,5,4,2,1,5,2,3,5,13445437
85906,10/12/2013,FC,4,2,2,5,4,1,2,5,12222567
22669,03/19/2012,IL,5,3,5,5,10,2,3,4,13189585
82630,06/28/2012,FC,4,2,1,2,5,4,3,2,16345663
62766,10/18/2012,IL,5,2,4,4,5,2,7.5,8,13368205
32413,05/06/2013,IL,5,2,1,2,10,2,2,4,13521132
27532,06/20/2011,IL,4,3,1,1,5,4,1,4,16402098
38259,04/14/2009,IL,5,1,1,2,4,2,2,5,14154262
34122,07/04/2011,FC,5,3,1,2,10,3,5,3,20325315
68891,09/03/2010,FC,5,5,1,2,4,2,2,4,16007106
4936,12/02/2007,FC,5,5,2,4,5,1,1,4,11944587
38863,06/01/2012,FC,5,2,2,5,5,1,3,5,13617237
78984,11/29/2007,FC,5,3,5,5,8,4,3,5,11756039
84402,01/17/2012,IL,5,4,1,2,5,6,7.5,3,13925774
60700,03/30/2002,FC,5,2,5,1,3,2,7.5,4,11119097
32960,10/25/2013,FC,5,2,25,3,4,2,1,4,8563505
23001,08/02/2011,IL,5,3,1,3,4,1,3,5,12897779
23337,09/07/2010,FC,5,4,1,2,5,2,3,5,14270851
49326,12/21/2012,FC,5,5,1,4,5,4,3,5,12729534
98093,03/30/2002,FC,5,3,5,3,5,3,3,5,14285133
77618,06/24/2011,FC,5,2,1,2,10,2,2,4,12292989
28099,11/27/2008,FC,5,1,1,2,5,4,3,4,14258792
31990,11/01/2007,IL,5,2,3,2,5,2,3,5,12485287
388,08/02/2011,FC,5,3,5,3,5,2,10,8,9695857
70280,05/03/2013,FC,10,1,1,4,4,2,3,4,14725174
43249,08/05/2011,FC,5,2,1,3,5,10,3,4,14248263
66057,04/12/2012,FC,5,5,5,1,4,4,3,10,12465641
40799,08/22/2004,FC,4,2,2,1,4,4,7.5,5,14132375
53507,10/12/2013,IL,4,2,2,1,5,2,3,5,14146143
57382,03/09/1998,IL,5,10,15,2,10,3,1,4,11234229
54545,06/18/2007,IL,10,4,1,4,4,6,3,6,14283181
53045,09/20/2013,FC,4,1,25,3,5,4,3,8,10086394
29942,08/28/2009,MB,5,4,1,1,4,2,2,4,13398744
30993,05/03/2013,FC,5,2,1,1,4,5,0,4,13966455
67329,09/20/2013,FC,5,1,1,2,4,3,2,4,14095680
42041,09/26/2006,IL,4,3,3,4,5,2,2,8,11479211
9642,02/15/2010,IL,10,6,1,2,4,2,3,4,13110823
73947,08/23/2013,FC,4,5,1,3,8,3,2,5,14255964
16701,06/01/2012,IL,4,5,2,2,5,1,3,3,15334961
25601,07/28/2000,DT,5,4,25,2,5,1,1,5,12665260
52828,02/21/2013,IL,5,5,1,1,5,2,0,4,10988256
57317,07/16/2012,DT,5,1,10,1,4,6,0,4,9064844
86361,06/26/2010,FC,5,3,2,3,5,5,2,4,14893589
51183,11/14/2012,IL,5,5,10,3,5,4,2,10,11774264
95113,04/19/2013,FC,5,5,25,3,2,3,0,5,6985634
4690,05/02/2008,FC,5,1,2,5,4,2,3,5,13474798
1305,04/08/2010,IL,5,3,2,2,4,8,3,2,18145114
20478,09/03/2010,FC,10,3,1,1,4,3,3,4,13872242
38427,07/18/2011,FC,4,2,1,1,5,2,0,5,12722112
57412,10/14/2013,FC,5,1,3,1,4,2,3,5,15018381
90187,02/26/2010,FC,5,5,2,2,5,2,2,8,12892790
85365,11/22/2007,FC,10,2,1,2,5,4,0,5,10567846
45114,04/06/1998,FC,4,5,1,1,3,2,3,5,13298919
67636,07/04/2008,IL,5,6,2,1,4,2,3,5,15773625
70386,11/14/2012,IL,5,5,1,2,4,10,2,4,14835284
89899,08/20/2004,IL,4,5,5,2,4,2,2,8,13727548
62749,11/21/1999,FC,5,5,2,1,8,4,7.5,5,13234582
4015,03/19/2012,IL,10,3,2,1,5,3,3,1,13145142
70013,07/15/2011,FC,5,5,25,3,4,4,1,10,6809254
47066,12/30/2011,IL,4,4,1,3,3,2,1,1,13276432
98573,07/15/2013,IL,5,1,3,1,4,2,3,3,13527161
51195,11/21/1999,FC,5,1,1,2,8,2,3,3,10847280
98311,07/07/2010,IL,10,4,1,2,4,2,3,4,14805178
90246,03/01/2008,FC,5,1,15,2,5,2,3,5,6098426
72456,03/30/2002,FC,5,3,2,1,3,2,1,8,14276032
57906,05/07/2010,FC,5,10,2,3,10,2,7.5,4,16226308
55976,02/01/2011,IL,5,4,1,3,8,2,2,4,13359637
39454,04/28/2012,IL,5,3,1,5,4,3,7.5,4,14452926
36483,10/23/1999,DT,8,5,1,2,5,2,3,4,13526326
39270,06/29/1997,IL,5,5,3,1,5,2,3,8,14784198
20490,02/01/2012,IL,5,3,2,1,5,4,3,8,13126770
60481,01/18/2013,IL,4,10,3,1,8,6,3,4,11542745
10612,03/28/2009,FC,4,3,1,1,5,2,1,5,14404068
98593,11/27/2008,FC,4,3,5,1,5,2,3,4,11570178
50203,09/28/2010,FC,5,4,1,4,4,2,2,4,13500299
19950,11/22/2012,FC,5,1,3,2,5,4,3,10,11769195
14894,12/12/2011,FC,5,1,1,5,4,4,3,3,10808105
8850,07/28/2000,DT,5,2,1,2,4,2,3,4,14870580
35430,02/11/1998,FC,4,1,5,4,4,10,2,4,13094791
6975,09/07/2010,FC,5,3,1,3,5,2,7.5,4,13923808
81929,04/09/2000,FC,10,4,1,3,3,3,5,5,21585724
54201,06/14/2013,FC,10,2,1,1,5,4,3,4,14084832
95297,07/04/2011,IL,4,4,1,2,3,2,3,5,14121862
82772,02/21/2013,FC,5,10,2,3,10,3,3,3,12712455
23255,07/04/2008,FC,5,1,4,3,4,2,3,4,12786785
20472,03/18/2007,FC,4,1,2,2,10,2,3,4,12847185
1649,11/22/2012,IL,10,4,25,1,5,2,2,1,9065740
69176,06/01/2010,FC,5,5,3,4,5,2,7.5,8,21034766
11259,03/28/2009,IL,4,2,1,1,5,3,2,8,14473403
75103,11/22/2012,FC,5,5,25,1,5,5,1,6,6967935
15928,02/26/2010,IL,10,3,1,3,4,4,3,4,13306857
28730,06/27/2007,FC,5,1,5,3,4,5,3,4,12516308
27124,09/26/2006,IL,5,1,2,2,5,2,3,4,12667580
88079,06/28/2012,FC,5,10,1,2,4,5,3,5,12371439
25989,04/18/2006,IL,5,5,4,5,8,5,5,4,13038780
90401,09/14/2009,FC,5,2,5,5,5,2,2,5,12158981
7338,08/01/2010,FC,5,3,2,5,5,5,7.5,5,12602123
12310,10/11/2010,IL,5,2,3,2,3,1,7.5,3,12675753
36837,07/12/2012,FC,5,2,3,3,4,2,2,5,19451360
66059,09/10/1998,FC,4,2,2,2,5,2,3,2,20904487
37519,06/01/2010,IL,5,3,1,3,5,2,2,5,17588209
27934,03/28/2009,IL,5,1,2,3,5,2,3,5,14661139
62016,04/08/2010,FC,5,4,1,1,5,2,3,6,13417947
9247,12/03/2012,IL,4,4,2,4,5,1,7.5,4,13869824
28686,04/04/2008,IL,8,5,5,5,5,2,3,4,12923516
55596,06/01/2012,FC,4,1,1,5,5,5,7.5,5,13414751
79794,11/26/2010,IL,4,1,2,2,5,2,3,4,13536863
7918,11/25/2008,IL,4,5,1,1,8,3,3,5,12997996
8154,04/09/2000,FC,5,2,3,1,3,5,2,4,13096225
8835,04/18/2008,FC,5,1,1,1,4,3,3,4,14535144
89846,05/18/2011,FC,5,6,1,2,6,6,7.5,4,12963109
12844,10/18/2012,IL,5,1,1,1,5,4,3,3,13862047
45727,11/13/2013,FC,10,4,1,5,5,1,3,4,16628461
31479,06/30/2001,FC,10,1,1,2,5,2,3,4,14879949
17164,09/01/2001,FC,10,5,3,4,3,1,1,5,12077326
6910,03/06/2013,FC,10,4,1,3,5,4,3,5,12988730
78933,01/16/2009,IL,4,6,1,2,3,4,3,10,13831361
36543,02/01/2012,IL,8,3,1,3,5,2,3,10,13018265
59503,05/02/2013,FC,5,3,2,4,5,2,2,10,17725268
73714,05/06/2013,IL,5,1,1,1,10,2,3,4,13853917
28702,08/02/2010,IL,5,2,2,1,5,10,2,5,13349118
8732,06/01/2012,FC,5,5,3,2,3,2,3,4,19706431
93914,05/01/2009,FC,5,4,1,5,10,3,7.5,4,14231018
31037,12/24/2010,FC,4,5,4,5,5,3,3,5,13447277
29637,11/25/2008,IL,5,3,1,1,5,3,3,5,13797038
10048,02/09/2010,IL,5,2,4,2,4,4,2,4,11599170
12064,11/16/2012,FC,8,3,5,5,4,4,2,5,13390809
65958,08/08/2013,FC,4,5,1,3,5,2,2,5,13046146
44695,09/20/2013,FC,5,1,2,3,5,2,2,4,13470383
97542,04/12/2013,FC,5,6,2,4,5,3,3,5,12900599
3882,01/22/2011,IL,5,5,2,1,3,4,3,5,15188006
15798,06/14/2013,FC,5,2,1,1,5,2,3,4,14468665
13669,10/26/2009,IL,8,1,2,5,3,4,3,5,13611371
33328,06/16/2012,FC,5,5,1,1,5,3,3,4,17848920
94001,08/01/2010,FC,10,2,5,3,4,2,3,5,11636066
84688,12/28/2011,FC,5,2,2,1,4,3,3,5,14451723
4095,05/01/1997,IL,5,1,1,1,5,2,3,4,14485307
75207,10/12/2013,IL,5,2,1,5,6,6,1,4,14459791
15541,06/01/2012,FC,10,2,20,2,5,2,3,5,7772679
45176,10/17/1995,FC,5,1,1,1,5,2,3,5,12497441
38962,11/08/2013,IL,5,3,1,2,4,2,1,8,14472346
5289,08/02/2011,FC,5,3,3,3,5,1,0,8,13658797
56992,06/24/2012,FC,5,3,3,3,3,5,7.5,8,12546484
38263,12/17/2013,FC,4,5,1,5,8,2,3,5,13932332
26267,05/02/2013,FC,5,2,5,5,3,1,3,4,13366990
31502,08/25/2006,FC,5,6,5,5,4,1,1,5,13377506
94209,05/03/2013,FC,4,4,1,3,4,2,3,4,14419560
79476,03/07/2011,IL,5,1,3,4,5,4,2,5,18282272
10230,01/16/1999,IL,5,5,3,3,4,3,7.5,3,12884476
16207,01/27/2005,IL,5,1,5,1,5,2,3,5,12762356
58634,05/08/1995,IL,4,2,25,2,4,4,2,5,7591544
39907,11/29/2008,FC,5,10,20,3,10,2,3,5,8808088
21157,04/09/2011,FC,5,3,1,1,4,2,5,8,16557743
64104,07/12/2012,FC,10,4,1,3,5,2,3,5,21746302
63446,03/19/2009,FC,8,3,1,1,8,4,1,5,13657853
89576,09/08/2010,FC,5,1,4,5,4,2,3,4,13198813
91209,03/14/2012,IL,5,4,20,2,5,2,3,5,10378459
55156,03/28/2009,IL,4,3,4,1,5,3,3,2,13135836
49796,01/23/2009,FC,5,2,10,1,4,4,3,5,15334321
30701,08/30/2013,FC,5,4,5,1,10,4,1,4,11107218
2224,06/09/2007,FC,5,2,25,2,5,4,3,4,3766928
81720,01/22/2013,FC,5,2,1,1,4,2,3,8,9904793
10748,04/22/2008,FC,5,1,4,2,5,2,7.5,5,10839968
94265,11/08/2013,IL,5,4,2,1,4,2,3,5,14348506
49493,10/04/2000,DT,10,3,1,5,3,1,7.5,2,15174480
29397,08/25/2006,FC,4,8,2,2,4,4,0,8,12450465
87215,08/13/2011,FC,5,3,1,3,3,3,3,4,13193577
86678,05/07/2010,IL,4,5,3,4,5,4,3,4,14094244
97822,09/03/2010,FC,5,3,1,3,5,2,3,3,13852588
56594,10/04/2000,FC,5,3,1,1,5,2,3,5,13367456
